EMPRESA;PKEMP;EMPENHO;TIPO;DATA_EMPENHO;VALOR_EMPENHO;FORNECEDOR;HISTORICO;FICHA;CONTRATO;CODLO;CODLO_NOME;FUNCIONAL;PROGRAMA_NOME;CATEC;CATEC_NOME;MES_CRONOGRAMA;VALOR_MES;LIQUIDADO_MES;FONGRUPO;FONGRUPO_NOME;FONCODIGO;FONCODIGO_NOME;FONRO;FONRO_NOME;VINGRUPO;VINCODIGO;VINCODIGONOME;CLASSIFICACAO_SCPI;CLASSIFICACAO_MSC;FONTE_STN;CATEC_STN;CLASSIFICACAO_SCPINOME;CLASSIFICACAO_MSCNOME;FONTE_STNNOME;DESIS_FONTE_STN;DESDIS_COMPFR_STN;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;6;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;6;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;7;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;7;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;8;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;8;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;9;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;9;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;10;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;10;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;11;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;11;2208,33;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;12;2208,37;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;958;8;ES;05/01/2026;26500;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17976537 / 17976529  EMEI ZAIRA OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;12;2208,37;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
1;959;9;ES;05/01/2026;39000;CPFL-CIA.PAULISTA FORÇA E LUZ;EMPENHO POR ESTIMATIVA DO MEDIDOR CÓDIGO: 17987997 / 35493240 EMEI LUIZ OMETTO OMETTO;95;;020102;DEPARTAMENTO MUNICIPAL DE EDUCAÇÃO;12.365.1002.1024.0000;Reformulação do currículo integrado, com atividades extracurriculares diversificadas;3.3.90.39.43;SERVIÇOS DE ENERGIA ELÉTRICA;1;3250;0;01;TESOURO;00  ;Recursos Ordinarios;;;200;001;EDUCACAO 25%;PE;;1.500;3.3.90.39.43;Pré Escola;Não Informado;Recursos não Vinculados de Impostos (Exerc.Corrente);1.500;1001;
